UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
2997,L02997,L,304.1,312.5,1527,40.0,180,0,No Failure
2998,L02998,L,304.1,312.6,1513,40.4,185,0,No Failure
2999,L02999,L,304.1,312.6,1499,40.9,189,0,No Failure
3000,L03000,L,304.0,312.7,1483,41.3,194,0,No Failure
3001,L03001,L,304.0,312.7,1468,42.0,198,0,No Failure
3002,L03002,L,303.9,312.7,1444,43.7,202,0,No Failure
3003,L03003,L,303.9,312.8,1388,48.2,206,0,No Failure
3004,L03004,L,303.9,313.0,1307,54.8,209,0,No Failure
3005,L03005,L,303.8,313.1,1256,58.7,213,1,Overstrain Failure
3006,L03006,L,303.6,313.3,1592,51.3,2,0,No Failure
3007,L03007,L,303.5,313.0,1608,45.6,6,0,No Failure
3008,L03008,L,303.5,312.8,1601,42.5,10,0,No Failure
3009,L03009,L,303.4,312.4,1549,42.7,15,0,No Failure
3010,L03010,L,303.4,312.0,1475,44.7,21,0,No Failure
3011,L03011,L,303.3,311.6,1403,47.0,26,0,No Failure
3012,L03012,L,303.3,311.3,1350,48.1,32,1,Heat Dissipation Failure
3013,L03013,L,303.3,311.3,1325,47.7,38,0,No Failure
3014,L03014,L,303.3,311.6,1335,46.6,44,0,No Failure
3015,L03015,L,303.4,311.7,1354,46.1,50,0,No Failure
3016,L03016,L,303.5,311.6,1365,46.4,56,0,No Failure
3017,L03017,L,303.5,311.6,1361,46.5,62,1,Heat Dissipation Failure
3018,L03018,L,303.5,311.7,1348,45.9,68,0,No Failure
3019,L03019,L,303.4,311.8,1329,44.8,73,0,No Failure
3020,L03020,L,303.4,312.0,1319,43.8,78,0,No Failure
3021,L03021,L,303.4,312.1,1320,42.7,83,0,No Failure
3022,L03022,L,303.4,312.2,1323,42.3,88,0,No Failure
3023,L03023,L,303.4,312.2,1333,42.0,92,0,No Failure
3024,L03024,L,303.5,312.2,1351,41.7,97,0,No Failure
3025,L03025,L,303.6,312.3,1370,41.4,101,0,No Failure
3026,L03026,L,303.6,312.3,1394,41.1,105,0,No Failure
3027,L03027,L,303.7,312.3,1416,40.8,110,0,No Failure
3028,L03028,L,303.8,312.3,1442,41.0,114,0,No Failure
3029,L03029,L,303.8,312.4,1471,40.7,118,0,No Failure
3030,L03030,L,303.9,312.4,1496,40.5,123,0,No Failure
3031,L03031,L,303.9,312.4,1525,40.5,128,0,No Failure
3032,L03032,L,304.0,312.5,1547,40.5,132,0,No Failure
3033,L03033,L,304.0,312.5,1568,40.6,137,0,No Failure
3034,L03034,L,304.0,312.6,1590,40.8,142,0,No Failure
3035,L03035,L,304.0,312.6,1607,40.8,147,0,No Failure
3036,L03036,L,303.9,312.6,1619,40.9,151,0,No Failure
3037,L03037,L,303.9,312.7,1639,41.0,156,0,No Failure
3038,L03038,L,303.9,312.7,1662,41.1,161,0,No Failure
3039,L03039,L,303.8,312.7,1679,40.5,165,0,No Failure
3040,L03040,L,303.5,312.6,1683,37.9,170,0,No Failure
3041,L03041,L,303.0,312.3,1669,32.8,175,0,No Failure
3042,L03042,L,302.6,312.1,1668,28.7,180,0,Random Failures
3043,L03043,L,302.9,312.4,1709,30.6,185,0,No Failure
3044,L03044,L,303.3,312.7,1758,34.1,190,0,No Failure
3045,L03045,L,303.5,312.9,1793,34.8,196,0,No Failure
3046,L03046,L,303.5,312.9,1818,34.0,202,0,No Failure
3047,L03047,L,303.5,313.0,1649,36.5,3,0,No Failure
3048,L03048,L,303.5,313.0,1624,37.0,6,0,No Failure
3049,L03049,L,303.5,313.0,1594,37.1,9,0,No Failure
3050,L03050,L,303.5,312.9,1561,37.6,13,0,No Failure
3051,L03051,L,303.5,312.9,1530,38.0,18,0,No Failure
3052,L03052,L,303.5,312.8,1498,38.7,23,0,No Failure
3053,L03053,L,303.6,312.7,1475,39.3,28,0,No Failure
3054,L03054,L,303.6,312.6,1450,39.8,33,0,No Failure
3055,L03055,L,303.6,312.6,1430,40.1,38,0,No Failure
3056,L03056,L,303.6,312.6,1411,40.6,43,0,No Failure
3057,L03057,L,303.7,312.5,1387,41.5,47,0,No Failure
3058,L03058,L,303.7,312.5,1373,43.3,50,0,No Failure
3059,L03059,L,303.7,312.4,1355,47.3,53,0,No Failure
3060,L03060,L,303.6,312.2,1328,53.7,56,0,No Failure
3061,L03061,L,303.4,312.0,1309,60.6,57,0,No Failure
3062,L03062,L,303.4,311.9,1298,63.9,59,1,Heat Dissipation Failure
3063,L03063,L,303.5,312.0,1299,61.4,61,0,No Failure
3064,L03064,L,303.6,312.3,1318,55.2,63,0,No Failure
3065,L03065,L,303.7,312.5,1331,49.7,66,0,No Failure
3066,L03066,L,303.8,312.6,1342,46.7,70,0,No Failure
3067,L03067,L,303.7,312.7,1344,45.8,75,0,No Failure
3068,L03068,L,303.7,312.6,1353,45.5,81,0,No Failure
3069,L03069,L,303.7,312.5,1369,45.8,89,0,No Failure
3070,L03070,L,303.6,312.5,1383,46.1,99,0,No Failure
3071,L03071,L,303.5,312.4,1399,46.3,109,0,No Failure
3072,L03072,L,303.5,312.3,1417,46.2,120,0,No Failure
3073,L03073,L,303.4,312.2,1438,46.1,131,0,No Failure
3074,L03074,L,303.4,312.2,1460,45.8,143,0,No Failure
3075,L03075,L,303.4,312.2,1482,45.8,153,0,No Failure
3076,L03076,L,303.4,312.2,1506,45.6,163,0,No Failure
3077,L03077,L,303.4,312.3,1527,45.1,171,0,No Failure
3078,L03078,L,303.4,312.4,1549,44.6,178,0,No Failure
3079,L03079,L,303.4,312.5,1573,43.7,183,0,No Failure
3080,L03080,L,303.4,312.6,1602,42.9,187,0,No Failure
3081,L03081,L,303.4,312.7,1623,42.1,190,0,No Failure
3082,L03082,L,303.5,312.8,1631,41.1,192,0,No Failure
3083,L03083,L,303.6,313.0,1637,39.8,195,0,No Failure
3084,L03084,L,303.8,313.2,1597,38.2,197,0,No Failure
3085,L03085,L,304.2,313.6,1530,36.7,201,0,No Failure
3086,L03086,L,304.4,313.7,1509,35.0,205,1,Tool Wear Failure
3087,L03087,L,304.1,313.1,1533,35.8,1,0,No Failure
3088,L03088,L,303.8,312.8,1580,37.7,5,0,No Failure
3089,L03089,L,303.5,312.6,1601,39.8,10,0,No Failure
3090,L03090,L,303.4,312.4,1571,42.6,14,0,No Failure
3091,L03091,L,303.5,312.3,1499,47.1,19,0,No Failure
3092,L03092,L,303.5,312.1,1417,52.5,24,0,No Failure
3093,L03093,L,303.5,312.0,1366,54.5,30,1,Heat Dissipation Failure
3094,L03094,L,303.5,312.0,1336,59.6,35,0,No Failure
3095,L03095,L,303.4,312.1,1344,63.3,40,0,No Failure
3096,L03096,L,303.4,312.1,1345,67.8,46,0,No Failure
3097,L03097,L,303.4,312.2,1337,69.4,52,1,Power Failure
3098,L03098,L,303.4,312.3,1339,65.2,58,0,No Failure
3099,L03099,L,303.4,312.4,1352,57.8,63,0,No Failure
3100,L03100,L,303.4,312.4,1356,52.2,69,0,No Failure
3101,L03101,L,303.5,312.2,1341,50.9,75,0,No Failure
3102,L03102,L,303.5,312.1,1316,52.4,80,0,No Failure
3103,L03103,L,303.6,312.0,1309,52.9,86,1,Heat Dissipation Failure
3104,L03104,L,303.7,312.1,1321,50.9,91,0,No Failure
3105,L03105,L,303.7,312.4,1343,47.0,96,0,No Failure
3106,L03106,L,303.7,312.6,1365,43.5,101,0,No Failure
3107,L03107,L,303.8,312.8,1381,41.5,106,0,No Failure
3108,L03108,L,303.8,312.8,1398,40.6,111,0,No Failure
3109,L03109,L,303.9,312.8,1411,40.2,116,0,No Failure
3110,L03110,L,303.9,312.8,1422,40.1,120,0,No Failure
3111,L03111,L,303.9,312.8,1433,40.0,124,0,No Failure
3112,L03112,L,303.9,312.8,1441,40.0,128,0,No Failure
3113,L03113,L,303.9,312.8,1456,39.9,132,0,No Failure
3114,L03114,L,303.9,312.8,1476,39.9,136,0,No Failure
3115,L03115,L,303.9,312.7,1494,39.9,139,0,No Failure
3116,L03116,L,303.8,312.7,1506,39.8,143,0,No Failure
3117,L03117,L,303.7,312.7,1519,40.0,146,0,No Failure
3118,L03118,L,303.7,312.6,1531,40.0,149,0,No Failure
3119,L03119,L,303.6,312.6,1541,40.2,152,0,No Failure
3120,L03120,L,303.5,312.6,1556,40.4,155,0,No Failure
3121,L03121,L,303.5,312.6,1570,40.3,159,0,No Failure
3122,L03122,L,303.4,312.6,1576,40.4,162,0,No Failure
3123,L03123,L,303.3,312.6,1586,40.3,165,0,No Failure
3124,L03124,L,303.3,312.6,1604,40.3,168,0,No Failure
3125,L03125,L,303.3,312.6,1617,40.0,172,0,No Failure
3126,L03126,L,303.2,312.6,1624,39.6,175,0,No Failure
3127,L03127,L,303.2,312.6,1631,39.1,179,0,No Failure
3128,L03128,L,303.2,312.6,1638,38.8,182,0,No Failure
3129,L03129,L,303.2,312.7,1650,38.1,186,0,No Failure
3130,L03130,L,303.3,312.7,1661,37.1,190,0,No Failure
3131,L03131,L,303.3,312.7,1665,36.6,193,0,No Failure
3132,L03132,L,303.2,312.6,1660,37.4,197,0,No Failure
3133,L03133,L,303.2,312.6,1632,41.1,201,0,No Failure
3134,L03134,L,303.0,312.6,1571,48.2,205,0,No Failure
3135,L03135,L,302.8,312.5,1503,56.1,209,0,No Failure
3136,L03136,L,302.6,312.1,1288,68.5,0,1,Power Failure
3137,L03137,L,302.7,312.1,1365,63.8,3,0,No Failure
3138,L03138,L,302.9,312.1,1481,54.2,6,0,No Failure
3139,L03139,L,303.1,312.0,1588,45.4,9,0,No Failure
3140,L03140,L,303.2,312.0,1660,40.1,13,0,No Failure
3141,L03141,L,303.2,312.0,1703,37.8,17,0,No Failure
3142,L03142,L,303.2,312.0,1727,36.8,21,0,No Failure
3143,L03143,L,303.2,312.0,1740,36.6,26,0,No Failure
3144,L03144,L,303.2,312.0,1746,36.6,31,0,No Failure
3145,L03145,L,303.1,312.0,1739,36.7,35,0,No Failure
3146,L03146,L,303.1,312.1,1724,36.9,40,0,No Failure
3147,L03147,L,303.1,312.1,1703,37.3,46,0,No Failure
3148,L03148,L,303.1,312.1,1670,37.7,51,0,No Failure
3149,L03149,L,303.1,312.2,1632,38.2,56,0,No Failure
3150,L03150,L,303.1,312.2,1589,38.9,61,0,No Failure
3151,L03151,L,303.1,312.3,1547,39.4,66,0,No Failure
3152,L03152,L,303.1,312.3,1506,39.9,71,0,No Failure
3153,L03153,L,303.1,312.4,1466,40.5,75,0,No Failure
3154,L03154,L,303.1,312.4,1433,41.0,80,0,No Failure
3155,L03155,L,303.2,312.5,1403,41.4,84,0,No Failure
3156,L03156,L,303.2,312.5,1378,41.8,88,0,No Failure
3157,L03157,L,303.2,312.6,1366,42.0,91,0,No Failure
3158,L03158,L,303.3,312.7,1364,42.0,95,0,No Failure
3159,L03159,L,303.3,312.7,1370,41.9,98,0,No Failure
3160,L03160,L,303.4,312.8,1386,41.8,102,0,No Failure
3161,L03161,L,303.4,312.8,1414,41.6,105,0,No Failure
3162,L03162,L,303.5,312.9,1448,41.2,108,0,No Failure
3163,L03163,L,303.6,312.9,1487,40.7,111,0,No Failure
3164,L03164,L,303.6,313.0,1529,40.0,115,0,No Failure
3165,L03165,L,303.6,313.0,1568,39.4,118,0,No Failure
3166,L03166,L,303.7,313.1,1601,39.0,122,0,No Failure
3167,L03167,L,303.7,313.1,1636,38.7,125,0,No Failure
3168,L03168,L,303.7,313.1,1674,38.4,129,0,No Failure
3169,L03169,L,303.7,313.1,1707,37.9,133,0,No Failure
3170,L03170,L,303.7,313.1,1725,37.6,137,0,No Failure
3171,L03171,L,303.7,313.2,1733,37.7,141,0,No Failure
3172,L03172,L,303.7,313.2,1733,38.1,145,0,No Failure
3173,L03173,L,303.6,313.2,1726,38.3,149,0,No Failure
3174,L03174,L,303.6,313.2,1710,38.7,153,0,No Failure
3175,L03175,L,303.6,313.2,1685,39.4,158,0,No Failure
3176,L03176,L,303.6,313.1,1653,40.1,162,0,No Failure
3177,L03177,L,303.5,313.1,1618,40.8,166,0,No Failure
3178,L03178,L,303.5,313.1,1586,41.3,170,0,No Failure
3179,L03179,L,303.4,313.0,1550,42.0,174,0,No Failure
3180,L03180,L,303.4,313.0,1511,42.8,178,0,No Failure
3181,L03181,L,303.4,312.9,1474,43.8,181,0,No Failure
3182,L03182,L,303.4,312.9,1443,45.2,185,0,No Failure
3183,L03183,L,303.5,312.8,1411,48.8,188,0,No Failure
3184,L03184,L,303.6,312.8,1377,54.1,191,0,No Failure
3185,L03185,L,303.7,312.7,1359,56.8,194,1,Overstrain Failure
3186,L03186,L,303.6,312.6,1369,54.0,197,0,No Failure
3187,L03187,L,303.4,312.5,1397,48.9,199,0,No Failure
3188,L03188,L,303.3,312.4,1428,45.4,202,0,No Failure
3189,L03189,L,303.3,312.4,1455,43.9,204,0,No Failure
3190,L03190,L,303.2,312.3,1471,44.1,206,0,No Failure
3191,L03191,L,303.1,312.3,1486,45.8,209,0,No Failure
3192,L03192,L,302.9,312.3,1521,47.8,211,0,No Failure
3193,L03193,L,302.7,312.2,1450,52.1,213,1,Overstrain Failure
3194,L03194,L,303.1,312.5,2039,31.8,0,0,No Failure
3195,L03195,L,303.6,312.9,2361,19.0,2,0,No Failure
3196,L03196,L,303.8,313.1,2497,13.0,5,1,Power Failure
3197,L03197,L,303.7,313.0,2350,17.2,9,0,No Failure
3198,L03198,L,303.4,312.8,2047,27.3,13,0,No Failure
3199,L03199,L,303.2,312.5,1768,36.7,17,0,No Failure
3200,L03200,L,303.0,312.4,1600,42.1,23,0,No Failure
3201,L03201,L,302.9,312.4,1519,44.2,29,0,No Failure
3202,L03202,L,302.9,312.4,1487,45.0,34,0,No Failure
3203,L03203,L,302.9,312.5,1475,44.8,41,0,No Failure
3204,L03204,L,302.9,312.5,1462,44.0,47,0,No Failure
3205,L03205,L,302.9,312.6,1452,43.2,53,0,No Failure
3206,L03206,L,302.9,312.6,1441,42.5,60,0,No Failure
3207,L03207,L,302.9,312.6,1431,41.6,66,0,No Failure
3208,L03208,L,303.0,312.7,1429,40.8,72,0,No Failure
3209,L03209,L,303.0,312.7,1429,39.8,78,0,No Failure
3210,L03210,L,303.1,312.8,1428,39.2,83,0,No Failure
3211,L03211,L,303.1,312.8,1424,38.5,89,0,No Failure
3212,L03212,L,303.2,312.9,1426,37.8,94,0,No Failure
3213,L03213,L,303.3,312.9,1430,37.3,99,0,No Failure
3214,L03214,L,303.4,313.0,1433,37.0,104,0,No Failure
3215,L03215,L,303.4,313.0,1439,37.0,109,0,No Failure
3216,L03216,L,303.5,313.0,1451,37.1,113,0,No Failure
3217,L03217,L,303.5,313.0,1459,37.2,118,0,No Failure
3218,L03218,L,303.5,313.0,1466,37.4,123,0,No Failure
3219,L03219,L,303.5,313.0,1476,37.5,128,0,No Failure
3220,L03220,L,303.5,313.0,1488,37.5,133,0,No Failure
3221,L03221,L,303.5,313.0,1501,38.0,138,0,No Failure
3222,L03222,L,303.5,312.9,1512,38.2,144,0,No Failure
3223,L03223,L,303.4,312.9,1520,38.2,150,0,No Failure
3224,L03224,L,303.4,312.8,1527,38.4,155,0,No Failure
3225,L03225,L,303.3,312.7,1536,38.4,161,0,No Failure
3226,L03226,L,303.3,312.6,1546,38.5,167,0,No Failure
3227,L03227,L,303.2,312.5,1556,38.7,174,0,No Failure
3228,L03228,L,303.1,312.4,1559,38.9,180,0,No Failure
3229,L03229,L,303.1,312.3,1571,38.7,186,0,No Failure
3230,L03230,L,303.0,312.2,1582,38.3,192,0,No Failure
3231,L03231,L,303.0,312.1,1587,37.9,198,0,No Failure
3232,L03232,L,303.0,312.1,1591,37.6,204,0,No Failure
3233,L03233,L,303.0,312.0,1596,37.4,210,0,No Failure
3234,L03234,L,302.9,311.8,1590,38.2,215,0,No Failure
3235,L03235,L,302.6,311.5,1535,41.7,220,0,No Failure
3236,L03236,L,302.2,311.0,1439,47.4,226,0,No Failure
3237,L03237,L,302.0,310.8,1383,50.3,231,1,Overstrain Failure
3238,L03238,L,302.2,311.1,1429,47.4,236,0,No Failure
3239,L03239,L,302.6,311.7,1491,44.0,241,0,No Failure
3240,L03240,L,302.7,312.2,1484,45.3,246,0,No Failure
3241,L03241,L,302.7,312.4,1477,46.3,251,1,Overstrain Failure
3242,L03242,L,302.8,312.8,1474,48.2,1,0,No Failure
3243,L03243,L,302.9,312.7,1539,43.4,6,0,No Failure
3244,L03244,L,303.0,312.7,1574,40.6,10,0,No Failure
3245,L03245,L,303.0,312.6,1569,40.4,15,0,No Failure
3246,L03246,L,303.0,312.5,1546,41.6,20,0,No Failure
3247,L03247,L,302.9,312.3,1500,43.8,24,0,No Failure
3248,L03248,L,302.9,311.8,1428,46.7,30,0,No Failure
3249,L03249,L,302.8,311.2,1352,50.2,35,0,No Failure
3250,L03250,L,302.8,310.9,1312,52.2,40,1,Heat Dissipation Failure
3251,L03251,L,302.8,311.1,1330,51.3,45,0,No Failure
3252,L03252,L,302.7,311.6,1381,48.7,50,0,No Failure
3253,L03253,L,302.7,312.1,1420,46.4,55,0,No Failure
3254,L03254,L,302.7,312.3,1435,45.2,60,0,No Failure
3255,L03255,L,302.6,312.4,1439,44.7,64,0,No Failure
3256,L03256,L,302.6,312.4,1434,44.4,68,0,No Failure
3257,L03257,L,302.5,312.2,1420,44.5,72,0,No Failure
3258,L03258,L,302.5,312.0,1407,45.2,76,0,No Failure
3259,L03259,L,302.5,311.7,1388,46.8,79,0,No Failure
3260,L03260,L,302.5,311.1,1359,49.8,82,0,No Failure
3261,L03261,L,302.5,310.5,1325,52.9,84,0,No Failure
3262,L03262,L,302.5,310.2,1307,54.0,86,1,Heat Dissipation Failure
3263,L03263,L,302.5,310.4,1318,52.2,89,0,No Failure
3264,L03264,L,302.5,311.0,1344,48.9,90,0,No Failure
3265,L03265,L,302.6,311.5,1365,45.7,92,0,No Failure
3266,L03266,L,302.6,311.8,1377,43.9,94,0,No Failure
3267,L03267,L,302.7,311.9,1386,43.2,96,0,No Failure
3268,L03268,L,302.7,312.0,1388,42.7,98,0,No Failure
3269,L03269,L,302.8,312.0,1386,42.5,100,0,No Failure
3270,L03270,L,302.8,312.1,1387,42.3,102,0,No Failure
3271,L03271,L,302.9,312.1,1394,42.4,105,0,No Failure
3272,L03272,L,302.9,312.2,1403,42.8,108,0,No Failure
3273,L03273,L,303.0,312.2,1412,43.8,111,0,No Failure
3274,L03274,L,303.0,312.3,1414,46.9,114,0,No Failure
3275,L03275,L,303.0,312.3,1406,52.5,118,0,No Failure
3276,L03276,L,303.1,312.4,1401,58.7,122,0,No Failure
3277,L03277,L,303.1,312.4,1404,61.5,127,1,Power Failure
3278,L03278,L,303.1,312.4,1415,58.6,131,0,No Failure
3279,L03279,L,303.2,312.4,1434,52.3,136,0,No Failure
3280,L03280,L,303.2,312.4,1459,46.4,141,0,No Failure
3281,L03281,L,303.2,312.4,1480,43.1,146,0,No Failure
3282,L03282,L,303.2,312.3,1490,42.2,151,0,No Failure
3283,L03283,L,303.2,312.2,1488,42.2,156,0,No Failure
3284,L03284,L,303.1,312.0,1465,43.7,160,0,No Failure
3285,L03285,L,303.1,311.7,1418,46.5,165,0,No Failure
3286,L03286,L,303.0,311.4,1363,49.6,169,0,No Failure
3287,L03287,L,303.0,311.2,1341,51.0,174,1,Heat Dissipation Failure
3288,L03288,L,303.0,311.3,1382,49.3,177,0,No Failure
3289,L03289,L,303.0,311.6,1460,45.5,181,0,No Failure
3290,L03290,L,303.1,311.9,1533,42.1,185,0,No Failure
3291,L03291,L,303.1,312.1,1578,40.0,189,0,No Failure
3292,L03292,L,303.1,312.2,1602,39.0,192,0,No Failure
3293,L03293,L,303.1,312.2,1616,38.4,196,0,No Failure
3294,L03294,L,303.1,312.3,1632,38.1,199,0,No Failure
3295,L03295,L,303.1,312.4,1642,37.9,203,0,No Failure
3296,L03296,L,303.1,312.4,1649,37.4,207,0,No Failure
3297,L03297,L,303.1,312.5,1659,36.9,211,0,No Failure
3298,L03298,L,303.1,312.5,1671,36.5,215,0,No Failure
3299,L03299,L,302.8,312.5,1432,43.4,1,0,No Failure
3300,L03300,L,302.8,312.6,1457,42.5,6,0,No Failure
3301,L03301,L,302.8,312.6,1480,42.0,11,0,No Failure
3302,L03302,L,302.9,312.6,1506,41.6,16,0,No Failure
3303,L03303,L,302.9,312.6,1531,40.7,21,0,No Failure
3304,L03304,L,302.8,312.6,1556,40.0,26,0,No Failure
3305,L03305,L,302.8,312.5,1580,39.6,31,0,No Failure
3306,L03306,L,302.8,312.4,1609,39.4,37,0,No Failure
3307,L03307,L,302.8,312.4,1632,39.0,42,0,No Failure
3308,L03308,L,302.8,312.3,1648,38.7,48,0,No Failure
3309,L03309,L,302.8,312.2,1662,38.5,53,0,No Failure
3310,L03310,L,302.8,312.2,1682,38.0,58,0,No Failure
3311,L03311,L,302.9,312.1,1697,37.8,64,0,No Failure
3312,L03312,L,302.9,312.1,1705,38.1,69,0,No Failure
3313,L03313,L,302.9,312.1,1689,38.6,74,0,No Failure
3314,L03314,L,303.1,312.1,1636,40.4,79,0,No Failure
3315,L03315,L,303.3,312.0,1529,43.8,84,0,No Failure
3316,L03316,L,303.4,311.9,1401,47.5,89,0,No Failure
3317,L03317,L,303.5,311.9,1344,49.3,93,1,Heat Dissipation Failure
3318,L03318,L,303.4,311.9,1403,47.7,98,0,No Failure
3319,L03319,L,303.1,312.0,1527,44.0,103,0,No Failure
3320,L03320,L,302.9,312.1,1638,40.3,107,0,No Failure
3321,L03321,L,302.7,312.1,1699,38.5,112,0,No Failure
3322,L03322,L,302.6,312.0,1718,38.2,117,0,No Failure
3323,L03323,L,302.5,312.0,1716,38.1,121,0,No Failure
3324,L03324,L,302.4,311.9,1703,38.0,126,0,No Failure
3325,L03325,L,302.4,311.8,1688,38.0,130,0,No Failure
3326,L03326,L,302.3,311.7,1670,38.3,134,0,No Failure
3327,L03327,L,302.2,311.6,1642,39.4,139,0,No Failure
3328,L03328,L,302.2,311.4,1587,42.2,143,0,No Failure
3329,L03329,L,302.3,311.1,1500,47.0,147,0,No Failure
3330,L03330,L,302.4,310.8,1407,52.5,151,0,No Failure
3331,L03331,L,302.4,310.7,1362,54.8,155,1,Heat Dissipation Failure
3332,L03332,L,302.6,310.7,1337,55.5,159,0,No Failure
3333,L03333,L,302.7,310.9,1347,54.1,163,0,No Failure
3334,L03334,L,303.0,311.1,1340,53.3,167,0,No Failure
3335,L03335,L,303.1,311.3,1336,52.6,172,1,Heat Dissipation Failure
3336,L03336,L,303.1,311.6,1348,50.5,176,0,No Failure
3337,L03337,L,302.9,311.8,1372,46.9,181,0,No Failure
3338,L03338,L,302.8,312.1,1393,44.4,186,0,No Failure
3339,L03339,L,302.8,312.3,1398,43.4,192,0,No Failure
3340,L03340,L,302.8,312.4,1391,43.4,199,0,No Failure
3341,L03341,L,302.8,312.5,1374,43.8,206,0,No Failure
3342,L03342,L,302.1,311.0,1567,40.5,5,0,No Failure
3343,L03343,L,302.1,311.1,1602,39.6,12,0,No Failure
3344,L03344,L,302.1,311.2,1638,38.8,19,0,No Failure
3345,L03345,L,302.2,311.2,1675,38.0,25,0,No Failure
3346,L03346,L,302.2,311.3,1706,37.4,30,0,No Failure
3347,L03347,L,302.3,311.4,1732,36.8,35,0,No Failure
3348,L03348,L,302.3,311.5,1745,36.3,40,0,No Failure
3349,L03349,L,302.3,311.6,1747,36.0,45,0,No Failure
3350,L03350,L,302.3,311.7,1747,36.1,49,0,No Failure
3351,L03351,L,302.3,311.7,1739,36.2,53,0,No Failure
3352,L03352,L,302.3,311.8,1713,36.5,56,0,No Failure
3353,L03353,L,302.3,311.8,1674,37.0,59,0,No Failure
3354,L03354,L,302.3,311.8,1636,37.4,62,0,No Failure
3355,L03355,L,302.3,311.8,1600,37.9,65,0,No Failure
3356,L03356,L,302.3,311.8,1559,38.7,67,0,No Failure
3357,L03357,L,302.3,311.8,1515,39.3,70,0,No Failure
3358,L03358,L,302.2,311.8,1473,39.8,72,0,No Failure
3359,L03359,L,302.2,311.8,1441,40.3,74,0,No Failure
3360,L03360,L,302.2,311.8,1406,40.9,76,0,No Failure
3361,L03361,L,302.2,311.8,1382,41.4,77,0,No Failure
3362,L03362,L,302.2,311.8,1376,41.6,79,0,No Failure
3363,L03363,L,302.2,311.9,1382,41.7,81,0,No Failure
3364,L03364,L,302.3,311.9,1397,41.4,84,0,No Failure
3365,L03365,L,302.3,312.0,1424,41.0,86,0,No Failure
3366,L03366,L,302.3,312.0,1456,40.7,89,0,No Failure
3367,L03367,L,302.4,312.1,1485,40.4,93,0,No Failure
3368,L03368,L,302.4,312.2,1516,40.0,97,0,No Failure
3369,L03369,L,302.5,312.3,1560,39.5,101,0,No Failure
3370,L03370,L,302.5,312.4,1604,39.2,106,0,No Failure
3371,L03371,L,302.6,312.5,1643,38.7,111,0,No Failure
3372,L03372,L,302.6,312.6,1672,38.3,117,0,No Failure
3373,L03373,L,302.7,312.7,1698,37.9,123,0,No Failure
3374,L03374,L,302.7,312.7,1719,37.8,130,0,No Failure
3375,L03375,L,302.7,312.8,1726,37.9,136,0,No Failure
3376,L03376,L,302.7,312.8,1720,38.2,143,0,No Failure
3377,L03377,L,302.7,312.8,1702,38.7,150,0,No Failure
3378,L03378,L,302.7,312.7,1679,39.1,157,0,No Failure
3379,L03379,L,302.7,312.6,1649,39.5,164,0,No Failure
3380,L03380,L,302.6,312.5,1612,40.0,170,0,No Failure
3381,L03381,L,302.6,312.4,1568,41.3,176,0,No Failure
3382,L03382,L,302.6,312.2,1518,43.5,182,0,No Failure
3383,L03383,L,302.6,311.9,1457,47.8,186,0,No Failure
3384,L03384,L,302.6,311.4,1379,55.2,190,0,No Failure
3385,L03385,L,302.7,310.8,1304,63.6,194,0,No Failure
3386,L03386,L,302.7,310.5,1263,67.8,197,1,Heat Dissipation Failure
3387,L03387,L,302.6,310.4,1265,65.5,199,0,No Failure
3388,L03388,L,302.3,310.5,1288,60.9,201,0,No Failure
3389,L03389,L,302.1,310.4,1308,59.0,203,0,No Failure
3390,L03390,L,301.9,310.5,1340,55.7,204,1,Overstrain Failure
3391,L03391,L,301.9,310.5,1360,53.8,206,0,No Failure
3392,L03392,L,302.0,310.8,1382,50.6,208,0,No Failure
3393,L03393,L,302.0,310.9,1372,52.0,210,0,No Failure
3394,L03394,L,302.0,310.9,1378,53.1,212,1,Overstrain Failure
3395,L03395,L,302.0,311.0,1442,49.0,215,0,No Failure
3396,L03396,L,301.9,311.7,1466,47.5,1,0,No Failure
3397,L03397,L,302.0,311.7,1554,42.8,5,0,No Failure
3398,L03398,L,302.0,311.7,1613,40.9,10,0,No Failure
3399,L03399,L,302.0,311.7,1661,39.9,14,0,No Failure
3400,L03400,L,302.1,311.7,1699,39.3,19,0,No Failure
3401,L03401,L,302.1,311.7,1724,38.7,24,0,No Failure
3402,L03402,L,302.1,311.7,1744,38.4,29,0,No Failure
3403,L03403,L,302.1,311.6,1753,38.4,34,0,No Failure
3404,L03404,L,302.0,311.6,1745,38.4,39,0,No Failure
3405,L03405,L,302.0,311.6,1725,38.3,44,0,No Failure
3406,L03406,L,302.0,311.5,1693,38.6,50,0,No Failure
3407,L03407,L,302.0,311.5,1645,39.0,55,0,No Failure
3408,L03408,L,302.0,311.5,1603,39.5,60,0,No Failure
3409,L03409,L,301.9,311.4,1555,40.1,65,0,No Failure
3410,L03410,L,301.9,311.4,1501,40.6,69,0,No Failure
3411,L03411,L,301.9,311.3,1450,41.5,73,0,No Failure
3412,L03412,L,301.9,311.2,1408,43.3,78,0,No Failure
3413,L03413,L,302.0,311.0,1376,47.2,81,0,No Failure
3414,L03414,L,302.2,310.7,1346,53.3,85,0,No Failure
